Model,Drug,Accuracy,Precision,Recall,rocauc
SVM_results(SMOTE),KAN,0.9317269076305221,0.9574944071588367,0.9661399548532731,0.8879540324235584
SVM_results(column_modified),KAN,0.9357429718875502,0.9344608879492601,0.9977426636568849,0.9036733018674328
XGBoost_results(PCA),KAN,0.9036144578313253,0.9175475687103594,0.9796839729119639,0.8486148163349065
XGBoost_results(SMOTE),KAN,0.9618473895582329,0.9669603524229075,0.9909706546275395,0.8897393802585676
XGBoost_results(column_modified),KAN,0.9417670682730924,0.944206008583691,0.9932279909706546,0.9174840960394007
logistic_regression_results(PCA),KAN,0.9437751004016064,0.9481641468682506,0.9909706546275395,0.8833983172583624
logistic_regression_results(SMOTE),KAN,0.9518072289156626,0.9584245076586433,0.9887133182844243,0.889226349271496
logistic_regression_results(column_modified),KAN,0.927710843373494,0.9284210526315789,0.9954853273137697,0.9096655037964292
SLE_results(PCA),MOXI,0.9433198380566802,0.9453781512605042,0.995575221238938,0.944795617361989
SLE_results(SMOTE),MOXI,0.9352226720647774,0.9449152542372882,0.9867256637168141,0.9519595448798989
SLE_results(column_modified),MOXI,0.951417004048583,0.9612068965517241,0.9867256637168141,0.969237252423093
SVM_results(PCA),MOXI,0.97165991902834,0.974025974025974,0.995575221238938,0.9641803624104509
SVM_results(SMOTE),MOXI,0.9271255060728745,0.9482758620689655,0.9734513274336283,0.9633375474083439
SVM_results(column_modified),MOXI,0.9352226720647774,0.9375,0.995575221238938,0.9627054361567636
XGBoost_results(PCA),MOXI,0.9190283400809717,0.9256198347107438,0.9911504424778761,0.7987779182469448
XGBoost_results(SMOTE),MOXI,0.9190283400809717,0.9598214285714286,0.9513274336283186,0.9446902654867256
XGBoost_results(column_modified),MOXI,0.9473684210526315,0.9819004524886877,0.9601769911504425,0.972503160556258
logistic_regression_results(PCA),MOXI,0.9271255060728745,0.956140350877193,0.9646017699115044,0.9131900547829751
logistic_regression_results(SMOTE),MOXI,0.9392712550607287,0.9606986899563319,0.9734513274336283,0.9243573535608933
logistic_regression_results(column_modified),MOXI,0.9311740890688259,0.9484978540772532,0.9778761061946902,0.9369995785924988
SLE_results(PCA),OFLX,0.8472222222222222,0.8464730290456431,0.9927007299270073,0.8640870679957093
SLE_results(SMOTE),OFLX,0.8373015873015873,0.83640081799591,0.9951338199513382,0.8797844229913925
SLE_results(column_modified),OFLX,0.8472222222222222,0.8422131147540983,1.0,0.8829762185071817
SVM_results(PCA),OFLX,0.8313492063492064,0.8299595141700404,0.9975669099756691,0.8597179708552443
SVM_results(SMOTE),OFLX,0.8551587301587301,0.8520833333333333,0.9951338199513382,0.8561860659812155
SVM_results(column_modified),OFLX,0.8313492063492064,0.8286290322580645,1.0,0.8538053004735369
XGBoost_results(PCA),OFLX,0.8452380952380952,0.8505263157894737,0.9829683698296837,0.8216780472490386
XGBoost_results(SMOTE),OFLX,0.8472222222222222,0.8450413223140496,0.9951338199513382,0.8263741726185805
XGBoost_results(column_modified),OFLX,0.8630952380952381,0.8592436974789915,0.9951338199513382,0.8799283154121863
logistic_regression_results(PCA),OFLX,0.8948412698412699,0.9068181818181819,0.9708029197080292,0.831174947021427
logistic_regression_results(SMOTE),OFLX,0.9007936507936508,0.9149425287356322,0.9683698296836983,0.8509012897993354
logistic_regression_results(column_modified),OFLX,0.8392857142857143,0.8367346938775511,0.9975669099756691,0.8557674698479973
SLE_results(PCA),PZA,0.8822768434670116,0.8806179775280899,0.990521327014218,0.8840442338072669
SLE_results(SMOTE),PZA,0.9042690815006468,0.9190404797601199,0.9684044233807267,0.8368539832994809
SLE_results(column_modified),PZA,0.8809831824062095,0.8804500703234881,0.9889415481832543,0.9047506206273979
SVM_results(PCA),PZA,0.8848641655886158,0.8863636363636364,0.985781990521327,0.8975174904084856
SVM_results(SMOTE),PZA,0.9042690815006468,0.9228441754916793,0.9636650868878357,0.8616226585420899
SVM_results(column_modified),PZA,0.8913324708926261,0.8904694167852063,0.9889415481832543,0.8980365605958022
XGBoost_results(PCA),PZA,0.869340232858991,0.8746478873239436,0.981042654028436,0.8072331302189122
XGBoost_results(SMOTE),PZA,0.8822768434670116,0.8973607038123167,0.966824644549763,0.8073290453622207
XGBoost_results(column_modified),PZA,0.88745148771022,0.8877840909090909,0.9873617693522907,0.8768844504626495
logistic_regression_results(PCA),PZA,0.9120310478654593,0.9210134128166915,0.976303317535545,0.8824193184382758
logistic_regression_results(SMOTE),PZA,0.9016817593790427,0.9291217257318952,0.95260663507109,0.8419205596930716
logistic_regression_results(column_modified),PZA,0.9016817593790427,0.9053857350800583,0.9826224328593997,0.8703791469194313
SLE_results(PCA),RIF,0.9447983014861996,0.9361393323657474,0.9877488514548239,0.9835255965281346
SLE_results(SMOTE),RIF,0.9564755838641189,0.9526627218934911,0.9862174578866769,0.9862492515247699
SLE_results(column_modified),RIF,0.9543524416135881,0.9498525073746312,0.9862174578866769,0.9848185378105841
SVM_results(PCA),RIF,0.9585987261146497,0.9528023598820059,0.9892802450229708,0.9834196177344913
SVM_results(SMOTE),RIF,0.964968152866242,0.9626865671641791,0.9877488514548239,0.9839839548106424
SVM_results(column_modified),RIF,0.9596602972399151,0.9555555555555556,0.9877488514548239,0.9833984219757625
XGBoost_results(PCA),RIF,0.9320594479830149,0.9237410071942446,0.9831546707503829,0.9819465125028483
XGBoost_results(SMOTE),RIF,0.9575371549893843,0.9567809239940388,0.9831546707503829,0.9867500013247349
XGBoost_results(column_modified),RIF,0.9617834394904459,0.9625187406296851,0.9831546707503829,0.9866016310136343
