ID,EMB
303,0.9962379
304,0.9934953
305,0.9962379
306,0.99819607
307,0.9962379
308,0.9944559
309,0.9909711
310,0.9962379
311,0.9962379
312,0.99566334
313,0.9945531
314,0.9962379
315,0.9962379
316,0.9913833
317,0.9962379
318,0.9944559
319,0.9629082
320,0.93583804
321,0.9962379
322,0.9944559
323,0.9944559
324,0.9944559
325,0.4888319
326,0.9758346
327,0.9947137
328,0.9948725
329,0.9962379
330,0.9943047
331,0.9944559
332,0.9962379
333,0.99261415
334,0.9962379
335,0.9962379
336,0.99819607
337,0.9947137
338,0.99566334
339,0.9962379
340,0.99819607
341,0.9962379
342,0.9944559
343,0.9944559
344,0.9962379
345,0.9959584
346,0.99819607
347,0.9943047
348,0.99566334
349,0.9962379
350,0.9936401
351,0.9972663
352,0.8694814
353,0.9962379
354,0.9962379
355,0.9944559
356,0.9913862
357,0.9962379
358,0.9890983
359,0.9962379
360,0.9890969
361,0.9962379
362,0.9890983
363,0.99566334
364,0.9962379
365,0.9890983
366,0.9962379
367,0.9836616
368,0.99819607
369,0.9962379
370,0.9924252
371,0.9934953
372,0.9944559
373,0.9959584
374,0.99819607
375,0.9947137
376,0.9948725
377,0.9962379
378,0.9871601
379,0.99697423
380,0.98361474
381,0.99697423
383,0.9962379
384,0.995291
385,0.9962379
386,0.9962379
387,0.99689436
388,0.9847572
389,0.9928364
390,0.9962379
391,0.97483134
392,0.14516921
393,0.9962379
394,0.979614
395,0.9962379
396,0.9962379
397,0.99566334
398,0.99819607
399,0.99819607
400,0.9962379
401,0.9943047
402,0.99819607
403,0.9836616
404,0.99819607
405,0.9944559
406,0.9962379
407,0.99819607
408,0.9938824
409,0.9944559
410,0.9944559
411,0.99819607
412,0.9962379
413,0.9959584
415,0.9962379
416,0.99611217
417,0.9962379
418,0.9947137
419,0.9959584
420,0.9962379
421,0.9962379
422,0.9959584
423,0.9962379
424,0.99689436
425,0.9943047
426,0.99697423
427,0.9944559
428,0.99854964
429,0.99611217
430,0.9934953
431,0.9890969
432,0.99697423
433,0.99566334
435,0.99566334
436,0.9944559
437,0.9962379
438,0.9962379
439,0.9947137
440,0.9962379
441,0.9962379
442,0.9758346
443,0.9944559
444,0.9962379
445,0.9947137
446,0.9944559
447,0.9962379
448,0.9962379
449,0.9962379
450,0.9944559
451,0.9947137
452,0.9962379
453,0.9938664
454,0.99387807
455,0.9962379
456,0.9947137
457,0.9962379
458,0.9944559
459,0.9962379
460,0.9947137
461,0.99258864
462,0.99819607
463,0.9962379
464,0.9940446
465,0.9962379
466,0.9962379
467,0.9962379
468,0.9947137
469,0.99566334
470,0.99258864
471,0.9962379
472,0.99566334
473,0.99689436
474,0.995291
475,0.9962379
476,0.9962379
477,0.9962379
478,0.9962379
479,0.9913833
480,0.9890969
481,0.9962379
482,0.9947137
483,0.2625947
484,0.9962379
485,0.99706286
486,0.99819607
487,0.9928364
488,0.9962379
489,0.9962379
490,0.9890969
491,0.9944559
492,0.9944559
493,0.99819607
494,0.9943047
495,0.9928364
496,0.9940446
497,0.9962379
498,0.9962379
499,0.9962379
501,0.99689436
502,0.9913833
503,0.9962379
504,0.9890983
505,0.99819607
506,0.9962379
507,0.9962379
508,0.99566334
509,0.5178769
510,0.9962379
511,0.995291
512,0.9944559
513,0.9962379
514,0.9890969
515,0.9962379
516,0.9944559
517,0.9962379
518,0.99689436
519,0.9962379
520,0.9962379
521,0.9962379
522,0.9944559
523,0.99697423
524,0.9962379
525,0.9944559
526,0.9938824
527,0.9962379
528,0.99258864
529,0.9944559
530,0.9934953
531,0.9962379
532,0.9962379
533,0.9962379
534,0.9962379
535,0.9943047
536,0.9944559
537,0.9944559
538,0.9947137
539,0.9962379
540,0.9962379
541,0.99566334
542,0.9962379
543,0.98685884
544,0.9925896
545,0.99819607
546,0.9962379
547,0.9962379
548,0.9962379
549,0.9947148
550,0.9947148
551,0.9962379
552,0.9913833
553,0.9962379
554,0.077291295
555,0.99819607
556,0.9962379
557,0.99566334
558,0.9940446
559,0.9947137
560,0.995291
561,0.9947137
562,0.9872198
563,0.9947137
564,0.9897251
565,0.9947137
566,0.9962379
567,0.9835902
568,0.9962379
569,0.99819607
571,0.9962379
572,0.9962379
573,0.9962379
574,0.9962379
575,0.91678727
576,0.98574936
577,0.9962379
578,0.9962379
579,0.9441544
580,0.9940446
581,0.995291
582,0.9962379
583,0.99566334
584,0.972008
585,0.9944559
586,0.99566334
587,0.9962379
588,0.9873076
589,0.9962379
590,0.99819607
591,0.99258864
592,0.9962379
593,0.9962379
594,0.99689436
595,0.9962379
596,0.9944559
597,0.9962379
598,0.14310433
599,0.9925896
600,0.9944559
601,0.9847572
602,0.9962379
603,0.9943216
604,0.99819607
605,0.99819607
606,0.9934953
607,0.99689436
609,0.9962379
610,0.9890983
611,0.99258864
612,0.99258864
613,0.99258864
614,0.99258864
615,0.99258864
616,0.99258864
617,0.99258864
618,0.99258864
619,0.99258864
620,0.99258864
621,0.99258864
622,0.99258864
623,0.99258864
624,0.99258864
625,0.99258864
626,0.99258864
627,0.99258864
628,0.99746346
629,0.99689436
630,0.99819607
631,0.99258864
632,0.9934953
633,0.9934953
634,0.9573266
635,0.45526206
636,0.7846645
637,0.83593184
638,0.9944559
639,0.517707
640,0.9304716
641,0.21167886
642,0.86264795
643,0.2976717
644,0.9944559
645,0.9944559
646,0.3162407
647,0.7401806
648,0.91373765
649,0.9441544
650,0.97796655
651,0.947138
652,0.2976717
653,0.7315579
654,0.22057842
655,0.23965369
656,0.99819607
657,0.3162407
