ID,KAN
172,0.9705569
173,0.98590046
174,0.9820723
175,0.9677048
176,0.9705569
177,0.9677048
178,0.044662748
179,0.6731156
180,0.960463
181,0.6731156
182,0.6731156
183,0.9705569
184,0.9705569
185,0.9677048
186,0.98590046
187,0.81951666
188,0.9820723
189,0.97345936
190,0.98590046
191,0.98590046
192,0.98590046
193,0.9705569
194,0.9705569
195,0.97345936
196,0.7382708
197,0.98590046
198,0.9820723
200,0.36223382
202,0.9820723
204,0.9820723
206,0.98590046
208,0.960463
212,0.9820723
213,0.9657666
215,0.9764558
216,0.98692906
217,0.11696946
218,0.96833223
219,0.9820723
220,0.9820723
221,0.044662748
222,0.9705569
224,0.9820723
227,0.9677048
228,0.9820723
231,0.9820723
232,0.9677048
234,0.9820723
235,0.971194
236,0.9820723
238,0.96833223
239,0.96497524
240,0.9828864
242,0.9820723
243,0.9820723
244,0.9705569
245,0.9820723
247,0.9820723
251,0.9820723
256,0.055429216
257,0.9758278
258,0.9874493
259,0.9820723
262,0.9705569
263,0.9705569
264,0.9820723
266,0.98476124
267,0.9820723
270,0.45940426
271,0.97345936
272,0.9820723
278,0.96486384
279,0.9820723
280,0.9633222
281,0.98590046
287,0.9820723
289,0.9677048
290,0.9820723
296,0.973253
302,0.9820723
307,0.9820723
316,0.9776019
319,0.9820723
320,0.9677048
325,0.97345936
333,0.9820723
345,0.9820723
352,0.9758278
356,0.9820723
363,0.98590046
380,0.9705569
381,0.9840349
388,0.9820723
392,0.9705569
398,0.9820723
413,0.9820723
422,0.9820723
431,0.9705569
455,0.9820723
467,0.9820723
483,0.11696946
485,0.9820723
488,0.9820723
498,0.9820723
503,0.9820723
510,0.98590046
524,0.9820723
543,0.9820723
549,0.9820723
554,0.45940426
559,0.97345936
565,0.97345936
567,0.9820723
576,0.9636262
579,0.9820723
588,0.9809107
598,0.029761326
599,0.9820723
601,0.9820723
603,0.97345936
628,0.9820723
631,0.9633222
632,0.98590046
633,0.98590046
634,0.9705569
635,0.9820723
636,0.9705569
637,0.9820723
638,0.9820723
639,0.9661596
640,0.960463
641,0.046725184
642,0.9705569
643,0.9820723
644,0.9776019
645,0.9820723
646,0.9820723
647,0.9705569
648,0.9820723
649,0.9820723
650,0.9820723
651,0.9661596
652,0.9820723
653,0.9825409
654,0.9820723
655,0.113968454
656,0.9820723
657,0.9820723
658,0.9820723
659,0.9661596
660,0.9825409
661,0.9825409
662,0.9820723
663,0.9705569
664,0.9705569
665,0.9633222
666,0.9582795
667,0.9705569
668,0.9705569
669,0.9820723
670,0.9705569
671,0.960463
672,0.9661596
673,0.044662748
674,0.3252537
675,0.960463
676,0.11696946
677,0.9705569
678,0.9820723
679,0.9820723
680,0.9820723
681,0.9820723
682,0.8726302
683,0.9820723
684,0.9661596
685,0.9705569
686,0.9820723
687,0.9776019
688,0.9776019
689,0.9661596
694,0.59056664
695,0.9820723
697,0.9769189
698,0.9809107
699,0.9776019
700,0.9764558
701,0.9705569
702,0.029761326
703,0.9820723
704,0.9758278
705,0.9820723
706,0.9820723
707,0.04386065
708,0.9820723
709,0.97935814
710,0.960463
711,0.9820723
712,0.029761326
713,0.9820723
714,0.9820723
715,0.9820723
716,0.9820723
717,0.8221735
718,0.9820723
719,0.9705569
720,0.029761326
721,0.9820723
722,0.9820723
723,0.7891227
724,0.9820723
725,0.97857237
726,0.97444725
727,0.9820723
728,0.22077575
729,0.9820723
730,0.9820723
731,0.9820723
732,0.9777924
733,0.9820723
734,0.029761326
735,0.9820723
736,0.9820723
737,0.9777924
738,0.960463
739,0.9661596
740,0.9820723
741,0.9777924
742,0.9820723
743,0.9820723
744,0.9705569
745,0.9820723
746,0.9820723
747,0.9820723
748,0.9820723
749,0.9820723
750,0.9820723
751,0.9840349
752,0.9658753
753,0.9809935
754,0.9820723
755,0.044662748
756,0.9705569
757,0.9758278
758,0.9705569
759,0.9776019
760,0.9776019
761,0.97811973
762,0.9705569
763,0.9705569
764,0.9820723
765,0.9762606
766,0.9705569
767,0.9758278
768,0.960463
769,0.9820723
770,0.9820723
771,0.9820723
772,0.9820723
773,0.9633222
774,0.960463
775,0.98531693
776,0.029761326
777,0.029761326
778,0.044662748
779,0.9705569
780,0.9661596
781,0.9705569
782,0.9820723
783,0.9820723
784,0.9820723
785,0.9820723
786,0.9820723
787,0.9820723
788,0.9820723
789,0.9820723
790,0.9809107
791,0.9820723
792,0.9820723
805,0.9820723
809,0.11696946
816,0.044662748
826,0.9820723
841,0.9825409
847,0.9776019
893,0.97857237
951,0.9820723
952,0.9431143
953,0.9820723
954,0.9705569
955,0.98590046
956,0.98590046
957,0.9820723
958,0.9820723
959,0.9705569
960,0.9820723
961,0.9820723
962,0.97345936
963,0.9820723
964,0.9820723
965,0.87840724
966,0.97345936
967,0.9820723
968,0.98590046
969,0.9820723
970,0.9820723
971,0.9820723
972,0.9820723
973,0.9820723
974,0.98590046
975,0.9705569
976,0.9820723
977,0.9840349
978,0.98590046
979,0.9820723
980,0.9776019
981,0.98590046
982,0.9820723
983,0.9820723
984,0.98590046
985,0.97345936
986,0.98590046
987,0.98590046
988,0.97345936
989,0.96497524
990,0.9820723
991,0.9820723
992,0.9820723
