ID,STR
337,0.97620094
338,0.9642189
339,0.97620094
340,0.98737216
341,0.95720196
342,0.98737216
343,0.97708184
344,0.9642189
345,0.97620094
346,0.98737216
347,0.9017884
348,0.98016745
349,0.97620094
350,0.98737216
351,0.9017884
352,0.84536564
353,0.97620094
354,0.98737216
355,0.98737216
356,0.43901163
357,0.97620094
358,0.5893613
359,0.97620094
360,0.98737216
361,0.97708184
362,0.5893613
363,0.98016745
364,0.98737216
365,0.5893613
366,0.95720196
367,0.98737216
368,0.98737216
369,0.98737216
370,0.98016745
371,0.95785844
372,0.98737216
373,0.97620094
374,0.98737216
375,0.5615231
376,0.79912335
377,0.97620094
378,0.74309987
379,0.93500525
380,0.97620094
381,0.95720196
383,0.95720196
384,0.9496592
385,0.98016745
386,0.4356127
387,0.97620094
388,0.84536564
389,0.98016745
390,0.99057454
391,0.5893613
392,0.04358528
393,0.97620094
394,0.78332156
395,0.98016745
396,0.97620094
397,0.98016745
398,0.98737216
399,0.98737216
400,0.97620094
401,0.9017884
402,0.98737216
403,0.98737216
404,0.98737216
405,0.98737216
406,0.98737216
407,0.98737216
408,0.65208024
409,0.98737216
410,0.98737216
411,0.98737216
412,0.97620094
413,0.97620094
415,0.98016745
416,0.74309987
417,0.98016745
418,0.97620094
419,0.97620094
420,0.97620094
421,0.97620094
422,0.97620094
423,0.98737216
424,0.97620094
425,0.9017884
426,0.95720196
427,0.98737216
428,0.89849854
429,0.9170176
430,0.95785844
431,0.97620094
432,0.95720196
433,0.98016745
435,0.98016745
436,0.98737216
437,0.98016745
438,0.98016745
439,0.97620094
440,0.9659995
441,0.98737216
442,0.41596285
443,0.98737216
444,0.96724516
445,0.97620094
446,0.98737216
447,0.98016745
448,0.97620094
449,0.97620094
450,0.98737216
451,0.97620094
452,0.97620094
453,0.97620094
454,0.9659995
455,0.97620094
456,0.97620094
457,0.98737216
458,0.98737216
459,0.97620094
460,0.97620094
461,0.95720196
462,0.98737216
463,0.98737216
464,0.98737216
465,0.97620094
466,0.98737216
467,0.9818702
468,0.95720196
469,0.98016745
470,0.97620094
471,0.97620094
472,0.98016745
473,0.5615231
474,0.9729436
475,0.4356127
476,0.95720196
477,0.4356127
478,0.97620094
479,0.97620094
480,0.98737216
481,0.9659995
482,0.97620094
483,0.39761615
484,0.97620094
485,0.9017884
486,0.98737216
487,0.60676223
488,0.97620094
489,0.97620094
490,0.98737216
491,0.98737216
492,0.98737216
493,0.98737216
494,0.65208024
495,0.98016745
496,0.98737216
497,0.98737216
498,0.98737216
499,0.97620094
501,0.97620094
502,0.97620094
503,0.95720196
504,0.5893613
505,0.98737216
506,0.97620094
507,0.98737216
508,0.98016745
509,0.5012549
510,0.60676223
511,0.9496592
512,0.98737216
513,0.98737216
514,0.98737216
515,0.98737216
516,0.98737216
517,0.98016745
518,0.97620094
519,0.97620094
520,0.97620094
521,0.97620094
522,0.98737216
523,0.93500525
524,0.97620094
525,0.9818702
526,0.65208024
527,0.97620094
528,0.97620094
529,0.79912335
530,0.95785844
531,0.97620094
532,0.97620094
533,0.95720196
534,0.97620094
535,0.65208024
536,0.98737216
537,0.98737216
538,0.97620094
539,0.97620094
540,0.98737216
541,0.98016745
542,0.97620094
543,0.91244185
544,0.5893613
545,0.98737216
546,0.97620094
547,0.97620094
548,0.97620094
549,0.97620094
550,0.97620094
551,0.98737216
552,0.5615231
553,0.97620094
554,0.09139127
555,0.98737216
556,0.97620094
557,0.98016745
558,0.98737216
559,0.97620094
560,0.9729436
561,0.97620094
562,0.97291327
563,0.97620094
564,0.8974955
565,0.97620094
566,0.98737216
567,0.4592787
568,0.97620094
569,0.98737216
571,0.98016745
572,0.93500525
573,0.98737216
574,0.97620094
575,0.8540429
576,0.4380209
577,0.98016745
578,0.98737216
579,0.07687281
580,0.98737216
581,0.9729436
582,0.97620094
583,0.98016745
584,0.95785844
585,0.98737216
586,0.98016745
587,0.95720196
588,0.97620094
589,0.97620094
590,0.89849854
591,0.97620094
592,0.93500525
593,0.97620094
594,0.97620094
595,0.97620094
596,0.98737216
597,0.95720196
598,0.038592968
599,0.5893613
600,0.98737216
601,0.84536564
602,0.98737216
603,0.95720196
604,0.89849854
605,0.89849854
606,0.92533654
607,0.97620094
609,0.98737216
610,0.5893613
611,0.97620094
612,0.97620094
613,0.97620094
614,0.97620094
615,0.97620094
616,0.97620094
617,0.97620094
618,0.97620094
619,0.97620094
620,0.97620094
621,0.97620094
622,0.97620094
623,0.97620094
624,0.97620094
625,0.97620094
626,0.97620094
627,0.97620094
631,0.97620094
632,0.92533654
633,0.92533654
634,0.98737216
635,0.35355103
636,0.0125431195
637,0.008621875
638,0.98737216
639,0.36674133
640,0.9656165
641,0.309127
642,0.49562314
643,0.841575
644,0.98737216
645,0.98737216
646,0.052124903
647,0.87707186
648,0.5893613
649,0.07687281
650,0.9816626
651,0.61198014
652,0.841575
653,0.0125431195
654,0.052124903
655,0.58429044
656,0.98737216
657,0.052124903
658,0.9816626
659,0.1961232
660,0.046103314
661,0.0125431195
662,0.98737216
663,0.5017161
664,0.47733402
665,0.9656165
666,0.21187936
667,0.04358528
668,0.8485201
669,0.41451696
670,0.008621875
671,0.49562314
672,0.9656165
673,0.309127
674,0.0125431195
675,0.0072273836
676,0.18059957
677,0.95720196
678,0.9496592
679,0.97620094
680,0.50837666
681,0.295334
682,0.97620094
683,0.9656165
684,0.27279735
685,0.6955793
686,0.020303318
687,0.97620094
688,0.97620094
