ID,RIF
315,0.9951073
316,0.9897808
317,0.99694806
318,0.9951073
319,0.84856397
320,0.99631447
321,0.99377257
322,0.9951073
323,0.9951073
324,0.9951073
325,0.9951073
326,0.9951073
327,0.9951073
328,0.9972938
329,0.99631447
330,0.99631447
331,0.9951073
332,0.99694806
333,0.9760786
334,0.99631447
335,0.9951073
336,0.9951073
337,0.99555284
338,0.99640614
339,0.99377257
340,0.99555284
341,0.99640614
342,0.9951073
343,0.99640614
344,0.99640614
345,0.9913765
346,0.9951073
347,0.99631447
348,0.9951073
349,0.9247389
350,0.9247389
351,0.9951073
352,0.9152647
353,0.9951073
354,0.99631447
355,0.9951073
356,0.99365956
357,0.9951073
358,0.99377257
359,0.9951073
360,0.9951073
361,0.9972938
362,0.99377257
363,0.9951073
364,0.99631447
365,0.99377257
366,0.99694806
367,0.99631447
368,0.99377257
369,0.99631447
370,0.9951073
371,0.9951073
372,0.9951073
373,0.9913765
374,0.9951073
375,0.9951073
376,0.99631447
377,0.9951073
378,0.99631447
379,0.99631447
380,0.8741377
381,0.9961134
383,0.99694806
384,0.9951073
385,0.9951073
386,0.99377257
387,0.9951073
388,0.9760786
389,0.99555284
390,0.99631447
391,0.83155525
392,0.051162027
393,0.99377257
394,0.9951073
395,0.99654764
396,0.9951073
397,0.9951073
398,0.9951073
399,0.9951073
400,0.9951073
401,0.99631447
402,0.9951073
403,0.99631447
404,0.9951073
405,0.9951073
406,0.9953075
407,0.9951073
408,0.9913765
409,0.9951073
410,0.9951073
411,0.9951073
412,0.9951073
413,0.8741377
415,0.99377257
416,0.99631447
417,0.9951073
418,0.9951073
419,0.9913765
420,0.99377257
421,0.99377257
422,0.8741377
423,0.99631447
424,0.9951073
425,0.99631447
426,0.9961134
427,0.9951073
428,0.9951073
429,0.99631447
430,0.9951073
431,0.9951073
432,0.9961134
433,0.9247389
435,0.9467349
436,0.9951073
437,0.9951073
438,0.95815766
439,0.9951073
440,0.9951073
441,0.99631447
442,0.9951073
443,0.9951073
444,0.9883526
445,0.9951073
446,0.9951073
447,0.9951073
448,0.9247389
449,0.9951073
450,0.9951073
451,0.9951073
452,0.9247389
453,0.9810859
454,0.9951073
455,0.9951073
456,0.9951073
457,0.99631447
458,0.99555284
459,0.9951073
460,0.9951073
461,0.99640614
462,0.9951073
463,0.99631447
